Backprop Neural Network Simulator
 Version 5.0
 (C) 2000 Mengjie Zhang, VUW
 mengjie@mcs.vuw.ac.nz
epoch = 1, mse = 0.096, Percentage = 0/800 = 0.00%
epoch = 2, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 3, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 4, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 5, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 6, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 7, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 8, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 9, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 10, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 11, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 12, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 13, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 14, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 15, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 16, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 17, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 18, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 19, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 20, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 21, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 22, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 23, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 24, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 25, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 26, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 27, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 28, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 29, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 30, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 31, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 32, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 33, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 34, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 35, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 36, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 37, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 38, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 39, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 40, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 41, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 42, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 43, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 44, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 45, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 46, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 47, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 48, mse = 0.090, Percentage = 0/800 = 0.00%
epoch = 49, mse = 0.090, Percentage = 10/800 = 1.25%
epoch = 50, mse = 0.090, Percentage = 37/800 = 4.62%
epoch = 51, mse = 0.090, Percentage = 63/800 = 7.88%
epoch = 52, mse = 0.090, Percentage = 75/800 = 9.38%
epoch = 53, mse = 0.090, Percentage = 80/800 = 10.00%
epoch = 54, mse = 0.090, Percentage = 80/800 = 10.00%
epoch = 55, mse = 0.090, Percentage = 80/800 = 10.00%
epoch = 56, mse = 0.090, Percentage = 80/800 = 10.00%
epoch = 57, mse = 0.090, Percentage = 80/800 = 10.00%
epoch = 58, mse = 0.090, Percentage = 80/800 = 10.00%
epoch = 59, mse = 0.090, Percentage = 80/800 = 10.00%
epoch = 60, mse = 0.090, Percentage = 80/800 = 10.00%
epoch = 61, mse = 0.090, Percentage = 80/800 = 10.00%
epoch = 62, mse = 0.090, Percentage = 80/800 = 10.00%
epoch = 63, mse = 0.089, Percentage = 80/800 = 10.00%
epoch = 64, mse = 0.089, Percentage = 80/800 = 10.00%
epoch = 65, mse = 0.089, Percentage = 80/800 = 10.00%
epoch = 66, mse = 0.089, Percentage = 80/800 = 10.00%
epoch = 67, mse = 0.089, Percentage = 80/800 = 10.00%
epoch = 68, mse = 0.089, Percentage = 80/800 = 10.00%
epoch = 69, mse = 0.089, Percentage = 80/800 = 10.00%
epoch = 70, mse = 0.089, Percentage = 80/800 = 10.00%
epoch = 71, mse = 0.088, Percentage = 80/800 = 10.00%
epoch = 72, mse = 0.088, Percentage = 80/800 = 10.00%
epoch = 73, mse = 0.088, Percentage = 80/800 = 10.00%
epoch = 74, mse = 0.088, Percentage = 80/800 = 10.00%
epoch = 75, mse = 0.088, Percentage = 80/800 = 10.00%
epoch = 76, mse = 0.087, Percentage = 80/800 = 10.00%
epoch = 77, mse = 0.087, Percentage = 80/800 = 10.00%
epoch = 78, mse = 0.087, Percentage = 80/800 = 10.00%
epoch = 79, mse = 0.087, Percentage = 80/800 = 10.00%
epoch = 80, mse = 0.086, Percentage = 80/800 = 10.00%
epoch = 81, mse = 0.086, Percentage = 80/800 = 10.00%
epoch = 82, mse = 0.086, Percentage = 80/800 = 10.00%
epoch = 83, mse = 0.085, Percentage = 80/800 = 10.00%
epoch = 84, mse = 0.085, Percentage = 80/800 = 10.00%
epoch = 85, mse = 0.084, Percentage = 81/800 = 10.12%
epoch = 86, mse = 0.084, Percentage = 83/800 = 10.38%
epoch = 87, mse = 0.084, Percentage = 84/800 = 10.50%
epoch = 88, mse = 0.083, Percentage = 88/800 = 11.00%
epoch = 89, mse = 0.083, Percentage = 97/800 = 12.12%
epoch = 90, mse = 0.082, Percentage = 104/800 = 13.00%
epoch = 91, mse = 0.082, Percentage = 111/800 = 13.88%
epoch = 92, mse = 0.082, Percentage = 125/800 = 15.62%
epoch = 93, mse = 0.081, Percentage = 138/800 = 17.25%
epoch = 94, mse = 0.081, Percentage = 150/800 = 18.75%
epoch = 95, mse = 0.081, Percentage = 162/800 = 20.25%
epoch = 96, mse = 0.080, Percentage = 174/800 = 21.75%
epoch = 97, mse = 0.080, Percentage = 189/800 = 23.62%
epoch = 98, mse = 0.079, Percentage = 205/800 = 25.62%
epoch = 99, mse = 0.079, Percentage = 228/800 = 28.50%
epoch = 100, mse = 0.079, Percentage = 253/800 = 31.62%
epoch = 101, mse = 0.078, Percentage = 271/800 = 33.88%
epoch = 102, mse = 0.078, Percentage = 292/800 = 36.50%
epoch = 103, mse = 0.078, Percentage = 309/800 = 38.62%
epoch = 104, mse = 0.077, Percentage = 320/800 = 40.00%
epoch = 105, mse = 0.077, Percentage = 331/800 = 41.38%
epoch = 106, mse = 0.076, Percentage = 342/800 = 42.75%
epoch = 107, mse = 0.076, Percentage = 352/800 = 44.00%
epoch = 108, mse = 0.076, Percentage = 360/800 = 45.00%
epoch = 109, mse = 0.075, Percentage = 363/800 = 45.38%
epoch = 110, mse = 0.075, Percentage = 379/800 = 47.38%
epoch = 111, mse = 0.074, Percentage = 386/800 = 48.25%
epoch = 112, mse = 0.074, Percentage = 399/800 = 49.88%
epoch = 113, mse = 0.073, Percentage = 412/800 = 51.50%
epoch = 114, mse = 0.073, Percentage = 424/800 = 53.00%
